Date,Day,Food Expenses (USD),Dessert Expenses (USD),Beverage Expenses (USD),Total Expenses (USD),Food Sales (USD),Dessert Sales (USD),Beverage Sales (USD),Total Sales (USD),Daily Profit (USD),Notes
2024-05-01,Wednesday,45.50,28.75,12.30,86.55,150.00,85.50,35.00,270.50,183.95,Good sales day
2024-05-02,Thursday,42.00,35.20,14.00,91.20,165.00,95.00,38.00,298.00,206.80,Afternoon rush
2024-05-03,Friday,55.75,42.50,16.80,115.05,210.00,125.50,45.00,380.50,265.45,Weekend prep
2024-05-04,Saturday,65.30,58.00,22.50,145.80,280.00,175.00,60.00,515.00,369.20,Busy Saturday
2024-05-05,Sunday,58.00,52.75,20.10,130.85,240.00,155.00,48.00,443.00,312.15,Family visits
2024-05-06,Monday,38.50,25.30,11.20,75.00,120.00,72.50,28.00,220.50,145.50,Slow Monday
2024-05-07,Tuesday,42.75,30.60,13.50,86.85,155.00,88.00,32.00,275.00,188.15,Mid-week
2024-05-08,Wednesday,48.00,33.75,15.20,97.00,175.00,98.00,40.00,313.00,216.00,Steady day
2024-05-09,Thursday,51.25,38.40,16.75,106.40,190.00,110.50,45.00,345.50,239.10,Good traffic
2024-05-10,Friday,62.50,48.95,19.30,130.75,240.00,145.00,55.00,440.00,309.25,Friday boost
