Date,Flour & Baking Supplies,Dairy & Eggs,Chocolate & Sweet Supplies,Coffee Beans & Tea,Meats & Proteins,Vegetables & Fruits,Packaging Materials,Utilities,Labor (Hourly),Other Expenses,Total Daily Expenses
2024-05-01,8.50,6.25,7.50,5.00,12.75,4.50,3.25,2.00,15.00,2.80,67.55
2024-05-02,7.75,5.80,8.25,5.50,14.00,5.25,3.50,2.00,16.00,2.15,70.20
2024-05-03,10.25,8.50,10.00,6.00,16.50,6.50,4.00,2.00,18.00,3.30,85.05
2024-05-04,12.50,10.00,12.75,7.00,19.50,8.00,4.75,2.00,20.00,4.30,100.80
2024-05-05,11.00,9.25,11.50,6.50,17.75,7.25,4.25,2.00,19.00,3.85,92.35
2024-05-06,6.50,4.75,5.50,4.00,10.00,3.50,2.50,2.00,12.00,1.75,52.50
2024-05-07,7.25,5.50,6.50,4.50,11.50,4.00,2.75,2.00,13.00,2.10,59.10
2024-05-08,8.75,6.75,7.75,5.25,13.25,4.75,3.00,2.00,15.00,2.50,69.00
2024-05-09,9.50,7.25,8.50,5.75,14.75,5.50,3.25,2.00,16.00,2.90,75.40
2024-05-10,11.75,8.75,10.75,6.75,17.25,6.50,3.75,2.00,18.00,3.75,89.50
